Freq.	1/Ie(Q1)
1.31825673855640e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.34896288259165e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.38038426460288e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.41253754462275e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.44543977074592e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.47910838816820e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.51356124843620e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.54881661891247e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.58489319246111e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.62181009735892e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.65958690743755e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.69824365246174e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.73780082874937e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.77827941003891e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.81970085860997e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.86208713666286e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.90546071796324e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.94984459975804e-02	-1.01604360566129e+03,-0.00000000000000e+00
1.99526231496887e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.04173794466952e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.08929613085403e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.13796208950222e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.18776162394954e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.23872113856833e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.29086765276776e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.34422881531991e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.39883291901948e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.45470891568502e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.51188643150957e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.57039578276885e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.63026799189537e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.69153480392690e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.75422870333815e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.81838293126444e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.88403150312659e-02	-1.01604360566129e+03,-0.00000000000000e+00
2.95120922666637e-02	-1.01604360566129e+03,-0.00000000000000e+00
