time	V(vin)	V(vout)
4.944440625149520e-03	-3.420427e-03	3.274191e+00
4.973737500149520e-03	-1.642643e-03	3.258816e+00
4.984898214435234e-03	-9.388741e-04	3.252736e+00
4.996058928720948e-03	-2.390329e-04	3.246692e+00
5.007219643006662e-03	4.568802e-04	3.240686e+00
5.018380357292376e-03	1.148865e-03	3.234716e+00
5.029541071578090e-03	1.836922e-03	3.228784e+00
5.040701785863804e-03	2.521052e-03	3.222888e+00
5.051862500149518e-03	3.201253e-03	3.217030e+00
5.081159375149517e-03	4.881244e-03	3.202579e+00
5.110456250149517e-03	6.396302e-03	3.189578e+00
5.139753125149516e-03	7.695236e-03	3.178469e+00
5.159284375149516e-03	8.419101e-03	3.172305e+00
5.178815625149515e-03	9.016335e-03	3.167248e+00
5.198346875149515e-03	9.477955e-03	3.163373e+00
5.217878125149514e-03	9.797018e-03	3.160740e+00
5.237409375149514e-03	9.968725e-03	3.159390e+00
5.256940625149514e-03	9.990493e-03	3.159343e+00
5.276471875149513e-03	9.861995e-03	3.160599e+00
5.296003125149513e-03	9.585162e-03	3.163141e+00
5.315534375149512e-03	9.164160e-03	3.166927e+00
5.335065625149512e-03	8.605321e-03	3.171902e+00
5.354596875149512e-03	7.917049e-03	3.177988e+00
5.383893750149511e-03	6.665097e-03	3.188995e+00
5.413190625149510e-03	5.187938e-03	3.201914e+00
5.442487500149510e-03	3.535483e-03	3.216303e+00
5.471784375149509e-03	1.763568e-03	3.231674e+00
5.482945089435223e-03	1.060962e-03	3.237753e+00
5.494105803720937e-03	3.616848e-04	3.243795e+00
5.505266518006651e-03	-3.342623e-04	3.249800e+00
5.516427232292365e-03	-1.026880e-03	3.255768e+00
5.527587946578079e-03	-1.716167e-03	3.261699e+00
5.538748660863793e-03	-2.402126e-03	3.267594e+00
5.549909375149507e-03	-3.084754e-03	3.273451e+00
5.579206250149507e-03	-4.773773e-03	3.287904e+00
5.608503125149506e-03	-6.301491e-03	3.300921e+00
5.637800000149506e-03	-7.616288e-03	3.312066e+00
5.657331250149505e-03	-8.352248e-03	3.318270e+00
5.676862500149505e-03	-8.962582e-03	3.323384e+00
