Freq.	V(vout)/(V(vp)-V(vm))	(V(vp)-V(vm))/(I(R1)-I(R4))
1.34896288259164e+03	(3.99200358659308e+01dB,1.72241569122482e+02°)	(4.01663933296957e+01dB,-1.72241569122486e+02°)
1.38038426460287e+03	(3.99163074149155e+01dB,1.72063129363715e+02°)	(4.01701217807111e+01dB,-1.72063129363719e+02°)
1.41253754462274e+03	(3.99124066751214e+01dB,1.71880693507316e+02°)	(4.01740225205051e+01dB,-1.71880693507321e+02°)
1.44543977074591e+03	(3.99083258507776e+01dB,1.71694179628187e+02°)	(4.01781033448490e+01dB,-1.71694179628191e+02°)
1.47910838816819e+03	(3.99040568089846e+01dB,1.71503504654131e+02°)	(4.01823723866419e+01dB,-1.71503504654135e+02°)
1.51356124843619e+03	(3.98995910666071e+01dB,1.71308584389261e+02°)	(4.01868381290195e+01dB,-1.71308584389266e+02°)
1.54881661891247e+03	(3.98949197767954e+01dB,1.71109333541042e+02°)	(4.01915094188311e+01dB,-1.71109333541046e+02°)
1.58489319246110e+03	(3.98900337151424e+01dB,1.70905665751201e+02°)	(4.01963954804841e+01dB,-1.70905665751206e+02°)
1.62181009735891e+03	(3.98849232654792e+01dB,1.70697493630794e+02°)	(4.02015059301473e+01dB,-1.70697493630798e+02°)
1.65958690743754e+03	(3.98795784053186e+01dB,1.70484728799672e+02°)	(4.02068507903079e+01dB,-1.70484728799677e+02°)
1.69824365246173e+03	(3.98739886909556e+01dB,1.70267281930656e+02°)	(4.02124405046710e+01dB,-1.70267281930661e+02°)
1.73780082874936e+03	(3.98681432422371e+01dB,1.70045062798691e+02°)	(4.02182859533894e+01dB,-1.70045062798696e+02°)
1.77827941003891e+03	(3.98620307270161e+01dB,1.69817980335304e+02°)	(4.02243984686104e+01dB,-1.69817980335309e+02°)
1.81970085860997e+03	(3.98556393453080e+01dB,1.69585942688678e+02°)	(4.02307898503185e+01dB,-1.69585942688683e+02°)
1.86208713666285e+03	(3.98489568131703e+01dB,1.69348857289660e+02°)	(4.02374723824562e+01dB,-1.69348857289666e+02°)
1.90546071796323e+03	(3.98419703463300e+01dB,1.69106630924055e+02°)	(4.02444588492965e+01dB,-1.69106630924061e+02°)
