Freq.	V(vout)	V(n003)
6.02559586074349e+002	(6.47786595282760e-002dB,-8.06683503559282e+000°)	(6.50276550805510e-002dB,-7.63300042479329e+000°)
6.16595001861474e+002	(6.78134142228303e-002dB,-8.26356137794422e+000°)	(6.80741442217092e-002dB,-7.81962186074257e+000°)
6.30957344480184e+002	(7.09878714557189e-002dB,-8.46503835463290e+000°)	(7.12608888946550e-002dB,-8.01075858611704e+000°)
6.45654229034647e+002	(7.43082775001543e-002dB,-8.67139940921671e+000°)	(7.45941614310921e-002dB,-8.20653856463224e+000°)
6.60693448007587e+002	(7.77811392627427e-002dB,-8.88278250354755e+000°)	(7.80804960239134e-002dB,-8.40709415080205e+000°)
6.76082975391972e+002	(8.14132330746725e-002dB,-9.09933033179267e+000°)	(8.17266975762061e-002dB,-8.61256230100071e+000°)
6.91830970918927e+002	(8.52116135258692e-002dB,-9.32119054720657e+000°)	(8.55398505959671e-002dB,-8.82308479720724e+000°)
7.07945784384128e+002	(8.91836223072257e-002dB,-9.54851600284175e+000°)	(8.95273281017395e-002dB,-9.03880848461896e+000°)
7.24435960074980e+002	(9.33368970123664e-002dB,-9.78146500690471e+000°)	(9.36968004907644e-002dB,-9.25988552383902e+000°)
7.41310241300907e+002	(9.76793798484598e-002dB,-1.00202015939165e+001°)	(9.80562443193157e-002dB,-9.48647365879553e+000°)
7.58577575029173e+002	(1.02219326195794e-001dB,-1.02648958128103e+001°)	(1.02613950935061e-001dB,-9.71873650152354e+000°)
7.76247116628681e+002	(1.06965312943907e-001dB,-1.05157240330420e+001°)	(1.07378534889405e-001dB,-9.95684383488283e+000°)
7.94328234724270e+002	(1.11926246524932e-001dB,-1.07728692700586e+001°)	(1.12358942050634e-001dB,-1.02009719345574e+001°)
8.12830516164088e+002	(1.17111370551587e-001dB,-1.10365215315395e+001°)	(1.17564457325465e-001dB,-1.04513039117462e+001°)
8.31763771102659e+002	(1.22530272950507e-001dB,-1.13068781857043e+001°)	(1.23004711879862e-001dB,-1.07080300778407e+001°)
8.51138038202364e+002	(1.28192892472546e-001dB,-1.15841443534932e+001°)	(1.28689689740951e-001dB,-1.09713483328908e+001°)
