time,V(vout3),V(vp)-V(vm)
1.231009966275182e-003,1.845226e+000,7.018931e-003
1.236590323418039e-003,1.834941e+000,7.044315e-003
1.242868225203753e-003,1.824363e+000,7.062211e-003
1.249146126989467e-003,1.814870e+000,7.069169e-003
1.255424028775181e-003,1.806463e+000,7.065189e-003
1.261701930560895e-003,1.799141e+000,7.050271e-003
1.267979832346609e-003,1.792904e+000,7.024415e-003
1.274257734132324e-003,1.787752e+000,6.987620e-003
1.280535635918038e-003,1.783686e+000,6.939888e-003
1.286115993060895e-003,1.781031e+000,6.888030e-003
1.291696350203752e-003,1.779265e+000,6.827958e-003
1.297276707346609e-003,1.778386e+000,6.759673e-003
1.302857064489466e-003,1.778394e+000,6.683174e-003
1.308437421632323e-003,1.779291e+000,6.598463e-003
1.314017778775180e-003,1.781075e+000,6.505538e-003
1.319598135918037e-003,1.783748e+000,6.404400e-003
1.323783403775180e-003,1.786337e+000,6.323211e-003
1.327968671632322e-003,1.789414e+000,6.237818e-003
1.332153939489465e-003,1.792979e+000,6.148222e-003
1.336339207346608e-003,1.797033e+000,6.054421e-003
1.340524475203751e-003,1.801575e+000,5.956416e-003
1.344709743060893e-003,1.806605e+000,5.854208e-003
1.348895010918036e-003,1.812123e+000,5.747795e-003
1.354475368060893e-003,1.820243e+000,5.599625e-003
1.360055725203750e-003,1.829169e+000,5.445033e-003
1.365636082346607e-003,1.838903e+000,5.284017e-003
1.371216439489464e-003,1.849444e+000,5.116579e-003
1.376796796632321e-003,1.860792e+000,4.942719e-003
1.382377153775178e-003,1.872947e+000,4.762435e-003
1.387957510918035e-003,1.885909e+000,4.575729e-003
1.395630501989464e-003,1.905048e+000,4.309080e-003
1.403303493060892e-003,1.925446e+000,4.034062e-003
1.410976484132321e-003,1.947103e+000,3.750675e-003
1.418649475203749e-003,1.970018e+000,3.458918e-003
1.426322466275177e-003,1.994192e+000,3.158793e-003
1.433995457346606e-003,2.019625e+000,2.850299e-003
1.441668448418034e-003,2.046317e+000,2.533436e-003
1.450038984132320e-003,2.076718e+000,2.180533e-003
1.458409519846605e-003,2.108069e+000,1.824068e-003
1.466780055560891e-003,2.140371e+000,1.464041e-003
1.475150591275176e-003,2.173622e+000,1.100453e-003
1.483521126989462e-003,2.207824e+000,7.333026e-004
1.491891662703747e-003,2.242975e+000,3.625909e-004
1.500262198418033e-003,2.279077e+000,-1.168251e-005
1.505145010918033e-003,2.300342e+000,-2.289986e-004
1.510027823418033e-003,2.321745e+000,-4.455946e-004
1.514910635918033e-003,2.343286e+000,-6.614705e-004
1.519793448418033e-003,2.364966e+000,-8.766262e-004
1.524676260918032e-003,2.386785e+000,-1.091062e-003
1.529559073418032e-003,2.408742e+000,-1.304777e-003
1.534441885918032e-003,2.430838e+000,-1.517773e-003
1.541417332346603e-003,2.462592e+000,-1.820175e-003
1.548392778775175e-003,2.494270e+000,-2.117712e-003
1.555368225203746e-003,2.525870e+000,-2.410383e-003
1.562343671632317e-003,2.557393e+000,-2.698188e-003
1.569319118060889e-003,2.588840e+000,-2.981128e-003
1.576294564489460e-003,2.620209e+000,-3.259201e-003
1.583270010918031e-003,2.651501e+000,-3.532410e-003
1.594430725203745e-003,2.701269e+000,-3.957252e-003
1.605591439489459e-003,2.749485e+000,-4.358078e-003
1.616752153775173e-003,2.796148e+000,-4.734886e-003
1.627912868060887e-003,2.841260e+000,-5.087677e-003
1.639073582346602e-003,2.884819e+000,-5.416452e-003
1.650234296632316e-003,2.926827e+000,-5.721209e-003
1.661395010918030e-003,2.967282e+000,-6.001949e-003
1.669765546632315e-003,2.995891e+000,-6.190996e-003
1.678136082346601e-003,3.022958e+000,-6.361884e-003
1.686506618060886e-003,3.048483e+000,-6.514613e-003
1.694877153775172e-003,3.072466e+000,-6.649183e-003
1.703247689489457e-003,3.094907e+000,-6.765594e-003
1.711618225203743e-003,3.115807e+000,-6.863847e-003
1.719988760918028e-003,3.135165e+000,-6.943941e-003
1.725569118060885e-003,3.147022e+000,-6.986122e-003
1.731149475203742e-003,3.158054e+000,-7.019680e-003
1.736729832346599e-003,3.168263e+000,-7.044617e-003
1.742310189489456e-003,3.177646e+000,-7.060932e-003
1.747890546632313e-003,3.186206e+000,-7.068624e-003
1.753470903775170e-003,3.193940e+000,-7.067695e-003
1.759051260918027e-003,3.200851e+000,-7.058144e-003
1.764631618060884e-003,3.206885e+000,-7.039600e-003
1.770211975203741e-003,3.212040e+000,-7.012513e-003
1.775792332346598e-003,3.216315e+000,-6.976882e-003
