Freq.,V(vout3)/(V(vp)-V(vm))
1.17489755493952e+000,(4.02950496886626e+001dB,-9.98349440702240e+001°)
1.20226443461741e+000,(4.04230244427711e+001dB,-1.02273467477255e+002°)
1.23026877081237e+000,(4.05360355907960e+001dB,-1.04673994625565e+002°)
1.25892541179416e+000,(4.06348096793754e+001dB,-1.07030415821222e+002°)
1.28824955169313e+000,(4.07201529904221e+001dB,-1.09337381837084e+002°)
1.31825673855640e+000,(4.07929302765646e+001dB,-1.11590342002301e+002°)
1.34896288259165e+000,(4.08540439743832e+001dB,-1.13785554259744e+002°)
1.38038426460288e+000,(4.09044147278072e+001dB,-1.15920070405548e+002°)
1.41253754462275e+000,(4.09449638755357e+001dB,-1.17991700697357e+002°)
1.44543977074592e+000,(4.09765983109663e+001dB,-1.19998962489316e+002°)
1.47910838816820e+000,(4.10001979250532e+001dB,-1.21941017583473e+002°)
1.51356124843620e+000,(4.10166056615851e+001dB,-1.23817602676915e+002°)
1.54881661891247e+000,(4.10266200734560e+001dB,-1.25628956741296e+002°)
1.58489319246110e+000,(4.10309901627398e+001dB,-1.27375748502166e+002°)
1.62181009735892e+000,(4.10304122356033e+001dB,-1.29059006477744e+002°)
1.65958690743755e+000,(4.10255284655350e+001dB,-1.30680053356908e+002°)
1.69824365246173e+000,(4.10169268525306e+001dB,-1.32240445887850e+002°)
1.73780082874936e+000,(4.10051422919753e+001dB,-1.33741920935369e+002°)
1.77827941003891e+000,(4.09906584761181e+001dB,-1.35186347954223e+002°)
1.81970085860997e+000,(4.09739104025100e+001dB,-1.36575687814763e+002°)
1.86208713666286e+000,(4.09552872838766e+001dB,-1.37911957695199e+002°)
1.90546071796323e+000,(4.09351356988093e+001dB,-1.39197201608525e+002°)
1.94984459975803e+000,(4.09137628540568e+001dB,-1.40433466046722e+002°)
1.99526231496887e+000,(4.08914398530407e+001dB,-1.41622780186345e+002°)
2.04173794466952e+000,(4.08684048959143e+001dB,-1.42767140095283e+002°)
2.08929613085403e+000,(4.08448663610540e+001dB,-1.43868496400362e+002°)
