time	V(vout3)
1.269195183050416e-003	1.814775e+000
1.274774643921572e-003	1.808146e+000
1.280354104792728e-003	1.802357e+000
1.285933565663884e-003	1.797407e+000
1.291513026535040e-003	1.793296e+000
1.297092487406196e-003	1.790025e+000
1.301268244508889e-003	1.788236e+000
1.311033869508889e-003	1.785770e+000
1.315916682008889e-003	1.785476e+000
1.320799494508889e-003	1.785741e+000
1.322990466308007e-003	1.786064e+000
1.324689571700752e-003	1.786444e+000
1.327038066365529e-003	1.787071e+000
1.327266392583722e-003	1.787142e+000
1.327570827541314e-003	1.787241e+000
1.328486132607813e-003	1.787548e+000
1.328693621511039e-003	1.787621e+000
1.329371781965034e-003	1.787870e+000
1.330039285869855e-003	1.788200e+000
1.330202530563210e-003	1.788376e+000
1.330318846911885e-003	1.788534e+000
1.330369325381727e-003	1.788574e+000
1.330456955023003e-003	1.788610e+000
1.330523337625200e-003	1.788638e+000
1.330639560006191e-003	1.788697e+000
1.330730780069999e-003	1.788758e+000
1.330801196374231e-003	1.788808e+000
1.330876665943219e-003	1.788856e+000
1.330961064801136e-003	1.788907e+000
1.331050910894709e-003	1.788961e+000
1.331193507984633e-003	1.789045e+000
1.331333953072504e-003	1.789129e+000
1.331596830031894e-003	1.789284e+000
1.331876269217369e-003	1.789451e+000
1.332131691586434e-003	1.789601e+000
1.332412346790733e-003	1.789761e+000
1.332782436525978e-003	1.789960e+000
1.333088307047077e-003	1.790121e+000
1.334163245047428e-003	1.790694e+000
1.336080079044963e-003	1.791766e+000
1.337996913042499e-003	1.792938e+000
1.339913747040034e-003	1.794210e+000
1.341830581037569e-003	1.795580e+000
1.343747415035104e-003	1.797051e+000
1.345664249032639e-003	1.798621e+000
1.347581083030175e-003	1.800291e+000
1.352463895530175e-003	1.804916e+000
1.357346708030175e-003	1.810158e+000
1.362229520530175e-003	1.816018e+000
1.367112333030174e-003	1.822495e+000
1.371995145530174e-003	1.829589e+000
1.376877958030174e-003	1.837300e+000
1.381760770530174e-003	1.845629e+000
1.389433761601603e-003	1.860028e+000
1.397106752673031e-003	1.875805e+000
1.404779743744459e-003	1.892959e+000
1.412452734815888e-003	1.911490e+000
1.420125725887316e-003	1.931398e+000
1.427798716958745e-003	1.952684e+000
1.435471708030173e-003	1.975347e+000
1.443842243744459e-003	2.001544e+000
1.452212779458744e-003	2.028923e+000
1.460583315173030e-003	2.057483e+000
1.468953850887315e-003	2.087224e+000
1.477324386601601e-003	2.118147e+000
1.485694922315886e-003	2.150251e+000
1.494065458030172e-003	2.183537e+000
1.499645815173029e-003	2.206154e+000
1.505226172315886e-003	2.229062e+000
1.510806529458743e-003	2.252262e+000
1.516386886601600e-003	2.275754e+000
1.521967243744457e-003	2.299536e+000
1.527547600887314e-003	2.323611e+000
1.533127958030171e-003	2.347976e+000
1.551819058781071e-003	2.430535e+000
1.552984100320976e-003	2.435726e+000
1.554695341121057e-003	2.443361e+000
1.555876424531293e-003	2.448634e+000
1.557554189801960e-003	2.456122e+000
1.562482525578276e-003	2.478205e+000
1.567410861354592e-003	2.500262e+000
1.572339197130908e-003	2.522295e+000
1.577267532907223e-003	2.544302e+000
1.582195868683539e-003	2.566285e+000
1.587124204459855e-003	2.588243e+000
1.592052540236171e-003	2.610176e+000
1.607091797874618e-003	2.676192e+000
1.611974610374618e-003	2.697334e+000
1.616857422874618e-003	2.718292e+000
1.621740235374618e-003	2.739046e+000
1.626623047874618e-003	2.759574e+000
1.631505860374618e-003	2.779856e+000
1.637086217517475e-003	2.802777e+000
1.642666574660332e-003	2.825257e+000
1.648246931803189e-003	2.847298e+000
1.653827288946046e-003	2.868898e+000
1.659407646088903e-003	2.890059e+000
1.664988003231760e-003	2.910779e+000
1.670568360374617e-003	2.931059e+000
1.680333985374617e-003	2.965147e+000
1.685216797874616e-003	2.981543e+000
1.692192244303188e-003	3.004273e+000
1.699167690731759e-003	3.025938e+000
1.706143137160330e-003	3.046538e+000
1.713118583588902e-003	3.066074e+000
1.720094030017473e-003	3.084545e+000
1.727069476446044e-003	3.101951e+000
1.734044922874615e-003	3.118293e+000
1.739625280017472e-003	3.130472e+000
1.745205637160329e-003	3.141846e+000
1.750785994303186e-003	3.152414e+000
1.756366351446044e-003	3.162176e+000
1.761946708588901e-003	3.171133e+000
1.767527065731758e-003	3.179284e+000
1.773107422874615e-003	3.186629e+000
1.779385324660329e-003	3.193870e+000
1.785663226446043e-003	3.200015e+000
1.791941128231757e-003	3.205064e+000
1.798219030017471e-003	3.209016e+000
1.804496931803185e-003	3.211872e+000
1.810774833588900e-003	3.213631e+000
1.817052735374614e-003	3.214295e+000
1.826818360374613e-003	3.213199e+000
1.833011292234008e-003	3.211123e+000
1.833211426768225e-003	3.211035e+000
1.833327877612720e-003	3.210984e+000
1.834868846662288e-003	3.210269e+000
1.834897232717650e-003	3.210252e+000
1.834907160960475e-003	3.210233e+000
1.834913390752013e-003	3.210201e+000
1.834917374743166e-003	3.210159e+000
1.834922861529820e-003	3.210063e+000
1.834927817546117e-003	3.209931e+000
1.834936294687383e-003	3.209627e+000
1.834943361098379e-003	3.209331e+000
1.834951112098536e-003	3.208996e+000
1.834958882340392e-003	3.208687e+000
1.834963693407980e-003	3.208530e+000
1.834966978971404e-003	3.208459e+000
1.834971310209423e-003	3.208404e+000
1.834973537795313e-003	3.208387e+000
1.834976263083417e-003	3.208375e+000
1.834979376999675e-003	3.208365e+000
1.834983955440663e-003	3.208353e+000
1.834988833806682e-003	3.208343e+000
1.834995962433233e-003	3.208330e+000
1.835004776278490e-003	3.208314e+000
1.835020341923013e-003	3.208289e+000
1.835044690994484e-003	3.208252e+000
1.835069437415919e-003	3.208216e+000
1.835096813189229e-003	3.208179e+000
1.835126796060683e-003	3.208139e+000
1.835162889418454e-003	3.208095e+000
1.835204726823501e-003	3.208045e+000
1.835255178221222e-003	3.207987e+000
1.835313109874963e-003	3.207924e+000
1.835389836893929e-003	3.207846e+000
1.835492179684719e-003	3.207748e+000
1.835619313808417e-003	3.207636e+000
1.835748738092464e-003	3.207531e+000
1.835887226568527e-003	3.207425e+000
1.836017731928815e-003	3.207329e+000
1.836157572247312e-003	3.207225e+000
1.836318856461711e-003	3.207105e+000
1.836492023548892e-003	3.206977e+000
1.836623329282100e-003	3.206881e+000
1.836955747591441e-003	3.206651e+000
1.837185671001331e-003	3.206502e+000
1.837365495468531e-003	3.206387e+000
1.837602187098671e-003	3.206236e+000
1.837816678750969e-003	3.206098e+000
1.838025324209970e-003	3.205963e+000
1.838265755087299e-003	3.205812e+000
1.838528272705530e-003	3.205655e+000
1.838846868031469e-003	3.205472e+000
1.839189367214189e-003	3.205275e+000
1.839534274513601e-003	3.205074e+000
1.839910402670906e-003	3.204854e+000
1.840321214781510e-003	3.204611e+000
1.841287098148644e-003	3.204021e+000
1.842553875978208e-003	3.203207e+000
1.849213581672887e-003	3.197926e+000
1.855873287367566e-003	3.191373e+000
1.862532993062246e-003	3.183546e+000
1.869192698756925e-003	3.174448e+000
1.875852404451604e-003	3.164076e+000
1.882512110146283e-003	3.152432e+000
1.889171815840963e-003	3.139515e+000
1.898239896198105e-003	3.119980e+000
1.907307976555248e-003	3.098609e+000
1.916376056912391e-003	3.075400e+000
1.925444137269533e-003	3.050354e+000
1.934512217626676e-003	3.023470e+000
1.943580297983819e-003	2.994749e+000
1.952648378340961e-003	2.964191e+000
1.960321369412390e-003	2.937174e+000
1.967994360483818e-003	2.909312e+000
1.975667351555247e-003	2.880604e+000
1.983340342626675e-003	2.851050e+000
1.991013333698103e-003	2.820651e+000
1.998686324769532e-003	2.789406e+000
2.006359315840960e-003	2.757315e+000
2.011242128340960e-003	2.736641e+000
2.016124940840960e-003	2.715796e+000
2.021007753340960e-003	2.694778e+000
2.025890565840960e-003	2.673589e+000
2.030773378340960e-003	2.652228e+000
2.035656190840960e-003	2.630696e+000
